ADALINE,HEBB,SVM,ELM,MLP,KGAUSSA,KGAUSSH,KMLPA,KMLPH
0.8,0.75,0.8,0.7,0.9,0.25,0.75,0.9,0.9
0.8,0.65,1.0,0.95,0.95,0.75,0.75,0.95,0.95
0.7,0.7,0.95,0.9,0.8,0.75,0.75,0.8,0.9
0.95,0.75,0.8,0.9,1.0,0.85,0.75,1.0,0.95
0.6,0.85,1.0,1.0,1.0,0.95,0.75,1.0,1.0
0.8421052631578947,0.47368421052631576,0.9473684210526315,0.7894736842105263,0.8947368421052632,0.7894736842105263,0.7368421052631579,0.9473684210526315,0.7894736842105263
0.5263157894736842,0.47368421052631576,0.7894736842105263,0.8947368421052632,0.6842105263157895,0.7894736842105263,0.7894736842105263,0.9473684210526315,0.8947368421052632
0.6842105263157895,0.7368421052631579,0.8421052631578947,0.7894736842105263,0.7894736842105263,0.47368421052631576,0.7368421052631579,0.7894736842105263,0.7894736842105263
0.7368421052631579,0.8421052631578947,0.7368421052631579,0.7368421052631579,0.6842105263157895,0.42105263157894735,0.7368421052631579,0.7368421052631579,0.7368421052631579
0.5789473684210527,0.5263157894736842,0.7368421052631579,0.8421052631578947,0.8421052631578947,0.7368421052631579,0.7368421052631579,0.8421052631578947,0.7368421052631579
